Cluster,wMel,Treated
1,0.908163265,1
1,0.93877551,1
1,1,1
1,0.969387755,1
1,0.959183673,1
1,0.948979592,1
1,0.948979592,1
1,0.959183673,1
1,0.918367347,1
1,0.87755102,1
1,0.908163265,1
1,0.969387755,1
1,0.979591837,1
1,0.989795918,1
1,0.989795918,1
1,0.908163265,1
1,0.93877551,1
1,0.948979592,1
1,0.979591837,1
1,0.959183673,1
1,0.989795918,1
1,0.969387755,1
1,0.989795918,1
1,0.93877551,1
1,0.928571429,1
1,0.93877551,1
2,0.918367347,1
2,0.897959184,1
2,0.969387755,1
2,0.908163265,1
2,0.928571429,1
2,0.887755102,1
2,0.969387755,1
2,0.867346939,1
2,0.948979592,1
2,0.989795918,1
2,0.969387755,1
2,0.979591837,1
2,1,1
2,0.979591837,1
2,0.969387755,1
2,1,1
2,1,1
2,0.979591837,1
2,1,1
2,1,1
2,1,1
2,0.979591837,1
2,1,1
2,0.979591837,1
6,0.918367347,1
6,0.928571429,1
6,0.93877551,1
6,0.979591837,1
6,0.969387755,1
6,0.969387755,1
6,0.959183673,1
6,0.867346939,1
6,0.989795918,1
6,0.887755102,1
6,0.969387755,1
6,0.948979592,1
6,0.989795918,1
6,0.969387755,1
6,0.979591837,1
6,0.989795918,1
6,0.969387755,1
6,1,1
6,1,1
6,1,1
6,1,1
6,0.989795918,1
6,0.959183673,1
6,0.959183673,1
6,0.959183673,1
6,0.93877551,1
7,0.806122449,1
7,0.806122449,1
7,0.897959184,1
7,0.867346939,1
7,0.928571429,1
7,0.93877551,1
7,0.959183673,1
7,0.887755102,1
7,0.959183673,1
7,0.969387755,1
7,0.969387755,1
7,0.979591837,1
7,0.969387755,1
7,0.959183673,1
7,0.989795918,1
7,0.93877551,1
7,1,1
7,0.979591837,1
7,0.979591837,1
7,0.969387755,1
7,0.969387755,1
7,0.959183673,1
7,0.918367347,1
7,0.969387755,1
7,0.897959184,1
7,0.969387755,1
9,0.857142857,1
9,0.87755102,1
9,0.87755102,1
9,0.928571429,1
9,0.928571429,1
9,0.959183673,1
9,0.897959184,1
9,0.948979592,1
9,0.969387755,1
9,0.959183673,1
9,0.948979592,1
9,0.969387755,1
9,0.979591837,1
9,0.969387755,1
9,1,1
9,0.979591837,1
9,1,1
9,0.979591837,1
9,0.979591837,1
9,0.979591837,1
9,0.948979592,1
9,0.959183673,1
9,0.93877551,1
9,0.908163265,1
9,0.989795918,1
10,0.826530612,1
10,0.897959184,1
10,0.93877551,1
10,0.979591837,1
10,0.897959184,1
10,0.928571429,1
10,0.93877551,1
10,0.969387755,1
10,0.979591837,1
10,0.918367347,1
10,0.969387755,1
10,0.928571429,1
10,0.948979592,1
10,0.969387755,1
10,0.989795918,1
10,0.969387755,1
10,1,1
10,1,1
10,1,1
10,0.87755102,1
10,0.87755102,1
10,0.87755102,1
10,0.816326531,1
12,0.867346939,1
12,0.908163265,1
12,0.959183673,1
12,0.887755102,1
12,0.928571429,1
12,0.948979592,1
12,0.969387755,1
12,0.87755102,1
12,0.979591837,1
12,0.979591837,1
12,0.989795918,1
12,0.959183673,1
12,1,1
12,0.948979592,1
12,0.959183673,1
12,0.989795918,1
12,1,1
12,1,1
12,1,1
12,1,1
12,0.969387755,1
12,1,1
12,0.989795918,1
12,0.969387755,1
12,0.948979592,1
12,0.948979592,1
14,0.816326531,1
14,0.897959184,1
14,0.969387755,1
14,0.918367347,1
14,0.918367347,1
14,0.918367347,1
14,0.918367347,1
14,0.663265306,1
14,0.948979592,1
14,0.897959184,1
14,0.93877551,1
14,0.93877551,1
14,0.969387755,1
14,0.989795918,1
14,0.989795918,1
14,0.969387755,1
14,0.908163265,1
14,0.989795918,1
14,0.979591837,1
14,0.979591837,1
14,1,1
14,0.948979592,1
14,0.887755102,1
14,0.989795918,1
14,0.959183673,1
14,0.969387755,1
16,0.928571429,1
16,0.93877551,1
16,1,1
16,0.969387755,1
16,0.969387755,1
16,0.959183673,1
16,0.948979592,1
16,0.867346939,1
16,0.989795918,1
16,0.969387755,1
16,0.979591837,1
16,0.979591837,1
16,0.989795918,1
16,1,1
16,1,1
16,0.989795918,1
16,0.969387755,1
16,1,1
16,0.969387755,1
16,0.969387755,1
16,1,1
16,0.969387755,1
16,0.959183673,1
16,0.918367347,1
19,0.857142857,1
19,0.806122449,1
19,0.887755102,1
19,0.816326531,1
19,0.887755102,1
19,0.928571429,1
19,0.969387755,1
19,0.836734694,1
19,0.887755102,1
19,0.93877551,1
19,0.928571429,1
19,0.928571429,1
19,0.908163265,1
19,0.928571429,1
19,0.989795918,1
19,0.959183673,1
19,1,1
19,0.897959184,1
19,0.93877551,1
19,1,1
19,1,1
19,0.714285714,1
19,0.867346939,1
19,0.969387755,1
